Frame,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
84,0.3946,1.509,0.9418,0.1893,-0.0959,-0.0013,0.9772
85,0.3888,1.5145,0.943,0.1731,-0.0961,-0.003,0.9802
86,0.3845,1.5205,0.943,0.156,-0.0951,-0.0044,0.9832
87,0.3814,1.5278,0.9416,0.1369,-0.092,-0.007,0.9863
88,0.3804,1.5358,0.9383,0.1171,-0.0866,-0.0063,0.9893
89,0.3814,1.5439,0.9337,0.1027,-0.0794,-0.0052,0.9915
90,0.3836,1.5517,0.9284,0.0879,-0.0721,-0.006,0.9935
91,0.3871,1.5584,0.9232,0.0768,-0.0643,-0.007,0.9949
92,0.3913,1.5637,0.9182,0.0691,-0.0573,-0.0076,0.9959
93,0.3958,1.5689,0.9134,0.0587,-0.0503,-0.0076,0.997
94,0.4011,1.5728,0.908,0.0536,-0.0452,-0.0081,0.9975
95,0.4067,1.5769,0.9035,0.0441,-0.042,-0.0092,0.9981
96,0.4133,1.5811,0.8989,0.0336,-0.0392,-0.0106,0.9986
97,0.4202,1.5846,0.8949,0.0235,-0.0355,-0.0115,0.999
98,0.4274,1.5881,0.8911,0.013,-0.0315,-0.0116,0.9994
99,0.4343,1.5911,0.8875,0.0055,-0.0273,-0.0119,0.9995
100,0.4415,1.593,0.8836,0.0032,-0.0234,-0.0121,0.9996
101,0.4492,1.5962,0.8786,-0.0037,-0.0187,-0.0126,0.9997
102,0.4572,1.5999,0.8727,-0.0121,-0.0142,-0.0137,0.9997
103,0.4652,1.6033,0.8664,-0.0205,-0.0091,-0.0149,0.9996
104,0.4731,1.6062,0.8609,-0.0284,-0.0039,-0.0152,0.9995
105,0.4816,1.6091,0.856,-0.0404,0.0023,-0.0156,0.9991
106,0.4898,1.611,0.8526,-0.049,0.0089,-0.0167,0.9986
107,0.4979,1.612,0.8493,-0.0536,0.0151,-0.016,0.9983
108,0.5054,1.6133,0.8459,-0.0586,0.0192,-0.0155,0.998
109,0.5122,1.6147,0.8423,-0.0635,0.0206,-0.016,0.9976
110,0.5184,1.6167,0.8385,-0.0705,0.0205,-0.0171,0.9972
111,0.5243,1.6185,0.835,-0.0779,0.0201,-0.0182,0.9966
112,0.5299,1.6202,0.8321,-0.0837,0.0197,-0.0187,0.9961
113,0.5349,1.6222,0.8293,-0.0915,0.0194,-0.0194,0.9954
114,0.5407,1.6239,0.8261,-0.0974,0.0217,-0.0206,0.9948
115,0.5466,1.6252,0.8231,-0.1025,0.0265,-0.0209,0.9942
116,0.5527,1.6268,0.8196,-0.1091,0.033,-0.0216,0.9932
117,0.5588,1.6275,0.8162,-0.1124,0.0384,-0.0216,0.9927
118,0.5646,1.6276,0.8134,-0.1136,0.0414,-0.0227,0.9924
119,0.5694,1.6275,0.8113,-0.1148,0.042,-0.0234,0.9922
120,0.5734,1.6273,0.8094,-0.1141,0.0398,-0.0242,0.9924
121,0.5776,1.6273,0.8075,-0.1146,0.037,-0.025,0.9924
122,0.5824,1.628,0.8058,-0.1188,0.0359,-0.0259,0.9919
123,0.5877,1.6287,0.8044,-0.121,0.0364,-0.0268,0.9916
124,0.5935,1.6288,0.8035,-0.1221,0.0376,-0.0279,0.9914
125,0.5998,1.6281,0.8036,-0.119,0.0405,-0.0297,0.9916
126,0.6063,1.6276,0.8039,-0.1163,0.0442,-0.0314,0.9917
127,0.6132,1.6271,0.8045,-0.1152,0.0484,-0.0335,0.9916
128,0.6193,1.6269,0.8051,-0.1161,0.0529,-0.0354,0.9912
129,0.6249,1.6268,0.806,-0.1181,0.0583,-0.0358,0.9906
130,0.6292,1.6268,0.8068,-0.1186,0.0634,-0.0354,0.9903
131,0.6338,1.627,0.8074,-0.1207,0.068,-0.0349,0.9897
132,0.6385,1.6272,0.8079,-0.1214,0.0718,-0.0363,0.9893
133,0.6425,1.6274,0.8084,-0.122,0.0736,-0.0381,0.9891
134,0.6463,1.6277,0.8088,-0.1236,0.0762,-0.0396,0.9886
135,0.6498,1.6281,0.8091,-0.1257,0.0788,-0.0405,0.9881
136,0.6534,1.6281,0.8093,-0.1256,0.0832,-0.0405,0.9878
137,0.6575,1.6279,0.8093,-0.1242,0.0889,-0.0424,0.9874
138,0.661,1.6272,0.8096,-0.1226,0.0948,-0.0449,0.9869
139,0.663,1.6265,0.8109,-0.1202,0.0997,-0.0468,0.9866
140,0.6636,1.6251,0.8131,-0.116,0.1032,-0.0478,0.9867
141,0.6629,1.6233,0.8163,-0.1106,0.1046,-0.0485,0.9872
142,0.6611,1.6209,0.8206,-0.1011,0.105,-0.0483,0.9881
143,0.6591,1.6182,0.8244,-0.0889,0.105,-0.0475,0.9893
144,0.6576,1.6155,0.8274,-0.0766,0.1074,-0.0474,0.9901
145,0.6567,1.6123,0.8308,-0.0644,0.1113,-0.0473,0.9906
146,0.6556,1.6085,0.8357,-0.0526,0.1123,-0.0484,0.9911
147,0.6535,1.6033,0.8431,-0.0388,0.1089,-0.0479,0.9921
148,0.6494,1.5975,0.8514,-0.0234,0.1031,-0.0479,0.9932
149,0.6427,1.5929,0.8595,-0.0082,0.0961,-0.0501,0.9941
150,0.6335,1.589,0.8672,0.0012,0.0944,-0.0514,0.9942
151,0.6199,1.583,0.8769,0.0146,0.0974,-0.0521,0.9938
152,0.6023,1.575,0.8876,0.0304,0.1017,-0.0534,0.9929
153,0.5801,1.5668,0.9006,0.049,0.1044,-0.0512,0.992
