Frame,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
173,0.0836,1.616,0.5604,-0.0523,-0.0182,-0.0057,0.9985
174,0.0765,1.6159,0.5613,-0.051,-0.0434,0.0,0.9978
175,0.0695,1.6142,0.5624,-0.0435,-0.067,0.0042,0.9968
176,0.064,1.612,0.5633,-0.0351,-0.0848,0.0088,0.9957
177,0.06,1.6089,0.564,-0.022,-0.0982,0.0132,0.9948
178,0.0573,1.6057,0.5647,-0.0075,-0.1082,0.0151,0.994
179,0.0557,1.6018,0.5658,0.009,-0.1144,0.0153,0.9933
180,0.0554,1.5957,0.5665,0.0363,-0.1179,0.0176,0.9922
181,0.0549,1.5887,0.567,0.0674,-0.1212,0.0206,0.9901
182,0.0543,1.5804,0.5676,0.1024,-0.123,0.024,0.9868
183,0.0543,1.5759,0.5679,0.1195,-0.1217,0.0258,0.985
184,0.0544,1.5726,0.5679,0.1316,-0.1193,0.027,0.9837
185,0.0548,1.5706,0.5678,0.1375,-0.1168,0.0282,0.9832
186,0.0555,1.571,0.5677,0.1347,-0.1141,0.0281,0.9839
187,0.0562,1.5751,0.5677,0.1159,-0.1114,0.027,0.9866
188,0.0571,1.5833,0.567,0.0805,-0.1078,0.0264,0.9906
189,0.0585,1.5922,0.5649,0.0424,-0.1027,0.0247,0.9935
190,0.0598,1.6008,0.5622,0.005,-0.0968,0.0217,0.9951
191,0.0615,1.6075,0.5589,-0.0218,-0.0897,0.0205,0.9955
192,0.0627,1.6127,0.556,-0.0431,-0.0848,0.0202,0.9953
193,0.0637,1.6154,0.5531,-0.051,-0.0817,0.0203,0.9951
194,0.0645,1.6166,0.5508,-0.0551,-0.0806,0.0201,0.995
195,0.0644,1.6162,0.549,-0.051,-0.0819,0.0196,0.9951
196,0.0631,1.6158,0.5471,-0.0491,-0.0856,0.0196,0.9949
197,0.0602,1.6158,0.5446,-0.0467,-0.0913,0.0194,0.9945
198,0.0557,1.6149,0.5427,-0.0411,-0.0961,0.0201,0.9943
199,0.049,1.6125,0.5422,-0.0304,-0.097,0.0193,0.9946
1,0.9143,1.5801,0.2998,-0.1372,-0.2351,-0.0415,0.9613
2,0.9144,1.5802,0.3009,-0.1373,-0.235,-0.0417,0.9613
3,0.9146,1.5799,0.3021,-0.1359,-0.2352,-0.0422,0.9615
4,0.9152,1.5801,0.3031,-0.1364,-0.2338,-0.0434,0.9617
5,0.9159,1.5805,0.304,-0.1389,-0.2323,-0.0443,0.9617
6,0.9165,1.581,0.3049,-0.1413,-0.2301,-0.0451,0.9618
7,0.917,1.5805,0.3064,-0.1387,-0.2263,-0.0437,0.9631
8,0.9177,1.5789,0.309,-0.1318,-0.2176,-0.0421,0.9662
9,0.9199,1.577,0.3123,-0.1231,-0.2017,-0.0372,0.971
10,0.9234,1.5746,0.3167,-0.1142,-0.1772,-0.0321,0.977
11,0.9274,1.5724,0.3209,-0.1056,-0.1528,-0.0271,0.9822
12,0.9317,1.5707,0.3248,-0.0994,-0.1293,-0.0268,0.9863
13,0.937,1.5688,0.3279,-0.092,-0.1032,-0.0238,0.9901
14,0.9418,1.5669,0.3308,-0.0847,-0.0798,-0.0218,0.993
15,0.9447,1.5661,0.3335,-0.0824,-0.0676,-0.0228,0.994
16,0.9464,1.5651,0.3356,-0.0789,-0.0609,-0.0232,0.9947
17,0.9476,1.5633,0.3374,-0.0711,-0.0535,-0.0207,0.9958
18,0.9484,1.5625,0.3392,-0.0693,-0.0482,-0.0205,0.9962
19,0.9488,1.5622,0.3401,-0.0688,-0.0456,-0.0192,0.9964
20,0.9491,1.5621,0.3403,-0.0688,-0.0442,-0.0183,0.9965
21,0.9501,1.5617,0.3405,-0.0674,-0.0409,-0.0182,0.9967
22,0.951,1.5611,0.3407,-0.0647,-0.0369,-0.0186,0.997
23,0.952,1.5608,0.3413,-0.0632,-0.0335,-0.0189,0.9973
24,0.9528,1.56,0.3417,-0.0599,-0.0323,-0.0184,0.9975
25,0.953,1.5588,0.3418,-0.0546,-0.034,-0.0176,0.9978
26,0.9529,1.5579,0.3418,-0.0505,-0.0369,-0.0177,0.9979
27,0.9525,1.5577,0.3416,-0.0495,-0.0398,-0.0186,0.9978
28,0.9521,1.5579,0.3414,-0.05,-0.0429,-0.0184,0.9977
29,0.951,1.5567,0.3414,-0.0444,-0.0494,-0.0193,0.9976
30,0.9491,1.5541,0.3415,-0.0317,-0.059,-0.0217,0.9975
31,0.9466,1.5506,0.3415,-0.0159,-0.0707,-0.0213,0.9971
32,0.9435,1.5487,0.3415,-0.008,-0.0838,-0.0195,0.9963
33,0.94,1.549,0.3411,-0.0098,-0.0986,-0.0214,0.9949
34,0.9367,1.5509,0.3413,-0.0193,-0.1121,-0.0247,0.9932
35,0.9347,1.5533,0.3415,-0.0312,-0.1197,-0.0254,0.992
36,0.9338,1.5565,0.3419,-0.0454,-0.121,-0.026,0.9913
37,0.934,1.559,0.3423,-0.0561,-0.1176,-0.0266,0.9911
38,0.9349,1.5609,0.343,-0.0648,-0.1113,-0.0257,0.9913
39,0.9362,1.562,0.3436,-0.0696,-0.1029,-0.0235,0.992
40,0.9384,1.5631,0.3443,-0.0733,-0.0899,-0.0215,0.993
41,0.9404,1.5639,0.3453,-0.0761,-0.077,-0.0195,0.9939
42,0.9417,1.5638,0.3462,-0.0746,-0.0681,-0.0168,0.9947
43,0.9425,1.5632,0.3471,-0.072,-0.0617,-0.0131,0.9954
44,0.9433,1.5619,0.3481,-0.0662,-0.0549,-0.0098,0.9962
45,0.944,1.5608,0.3485,-0.0615,-0.0492,-0.0094,0.9968
46,0.9441,1.5601,0.3484,-0.0596,-0.0484,-0.0087,0.997
47,0.9434,1.5601,0.3479,-0.0604,-0.0518,-0.0088,0.9968
48,0.9428,1.5599,0.347,-0.0601,-0.0541,-0.0088,0.9967
49,0.9427,1.5591,0.3459,-0.0577,-0.0547,-0.0081,0.9968
50,0.9425,1.5597,0.3448,-0.0617,-0.0564,-0.0082,0.9965
51,0.9422,1.5607,0.3438,-0.0668,-0.0592,-0.0091,0.996
52,0.942,1.5614,0.3429,-0.0694,-0.0614,-0.0108,0.9956
53,0.9421,1.5607,0.3423,-0.0671,-0.0615,-0.0097,0.9958
54,0.9428,1.5605,0.3417,-0.0656,-0.061,-0.0104,0.9959
55,0.9434,1.5606,0.341,-0.0659,-0.0604,-0.0112,0.9959
56,0.9443,1.5606,0.3405,-0.0658,-0.0584,-0.0116,0.9961
57,0.9453,1.5607,0.3399,-0.0659,-0.0567,-0.0117,0.9961
58,0.946,1.561,0.3393,-0.0675,-0.0562,-0.0121,0.9961
59,0.9465,1.5612,0.3387,-0.0676,-0.0555,-0.0125,0.9961
60,0.9469,1.5615,0.3383,-0.0694,-0.0549,-0.0115,0.996
61,0.9476,1.5615,0.3379,-0.0696,-0.054,-0.0116,0.996
62,0.9483,1.5618,0.338,-0.0707,-0.0528,-0.0122,0.996
63,0.9488,1.5617,0.3379,-0.0705,-0.0522,-0.0124,0.9961
64,0.9488,1.5617,0.3382,-0.0704,-0.0522,-0.0125,0.9961
65,0.9485,1.5617,0.3388,-0.0704,-0.0523,-0.0126,0.9961
66,0.9478,1.5613,0.3398,-0.0683,-0.052,-0.013,0.9962
67,0.9469,1.5607,0.3412,-0.0667,-0.0525,-0.0121,0.9963
68,0.9455,1.5601,0.3423,-0.0641,-0.0541,-0.0115,0.9964
69,0.9439,1.5585,0.3431,-0.0578,-0.0577,-0.0104,0.9966
70,0.9414,1.5571,0.344,-0.0518,-0.065,-0.0095,0.9965
71,0.9387,1.5563,0.3447,-0.0487,-0.0738,-0.009,0.996
72,0.9346,1.5552,0.345,-0.0441,-0.0899,-0.0092,0.9949
73,0.9267,1.553,0.3444,-0.0334,-0.1272,-0.014,0.9912
74,0.9174,1.5518,0.3428,-0.0273,-0.1712,-0.0196,0.9847
75,0.9094,1.5513,0.3408,-0.0249,-0.2078,-0.0215,0.9776
76,0.9019,1.5516,0.3387,-0.0253,-0.2397,-0.0227,0.9703
77,0.895,1.554,0.3365,-0.0356,-0.2682,-0.0279,0.9623
78,0.8907,1.5571,0.3351,-0.0485,-0.2838,-0.0302,0.9572
79,0.8877,1.5601,0.3346,-0.0603,-0.2913,-0.033,0.9542
80,0.8868,1.5632,0.3351,-0.0727,-0.2894,-0.0351,0.9538
81,0.8881,1.5658,0.3365,-0.0833,-0.2777,-0.0346,0.9564
82,0.8915,1.567,0.338,-0.0857,-0.2637,-0.0325,0.9602
83,0.8948,1.5689,0.339,-0.0935,-0.2521,-0.0328,0.9626
84,0.8979,1.5702,0.3395,-0.0976,-0.2424,-0.0326,0.9647
85,0.8999,1.5699,0.3396,-0.0953,-0.2365,-0.0324,0.9664
86,0.902,1.5695,0.3394,-0.0931,-0.2299,-0.0315,0.9682
87,0.9042,1.5695,0.3387,-0.0934,-0.2241,-0.0303,0.9696
88,0.9067,1.5696,0.3379,-0.0935,-0.2165,-0.0292,0.9714
89,0.9101,1.5691,0.3374,-0.0927,-0.2048,-0.0265,0.974
90,0.9134,1.5685,0.3369,-0.0913,-0.1928,-0.0257,0.9766
91,0.9162,1.5684,0.3364,-0.0907,-0.1838,-0.027,0.9784
92,0.9184,1.5684,0.3359,-0.0911,-0.1784,-0.0281,0.9793
93,0.9197,1.5684,0.3358,-0.0919,-0.1758,-0.0286,0.9797
94,0.921,1.5681,0.336,-0.0912,-0.1731,-0.0297,0.9802
95,0.9218,1.5681,0.3366,-0.0912,-0.1712,-0.0313,0.9805
96,0.9222,1.5679,0.3369,-0.091,-0.1695,-0.0312,0.9808
97,0.9222,1.5677,0.337,-0.0897,-0.1699,-0.0307,0.9809
98,0.9219,1.5678,0.337,-0.0902,-0.1707,-0.0309,0.9807
99,0.9217,1.568,0.3371,-0.0909,-0.1701,-0.0315,0.9807
100,0.9213,1.5679,0.3375,-0.0902,-0.1698,-0.0307,0.9809
101,0.9206,1.5679,0.338,-0.09,-0.1703,-0.0307,0.9808
102,0.9202,1.5678,0.339,-0.0889,-0.1695,-0.0312,0.981
103,0.9202,1.5674,0.3397,-0.0878,-0.1683,-0.0307,0.9813
104,0.9198,1.5671,0.3401,-0.0867,-0.169,-0.03,0.9813
105,0.9193,1.5671,0.3405,-0.0866,-0.1706,-0.0297,0.9811
106,0.9189,1.5666,0.3411,-0.0848,-0.1714,-0.0292,0.9811
107,0.9187,1.5662,0.3417,-0.0835,-0.1715,-0.0295,0.9812
108,0.9186,1.5661,0.3422,-0.084,-0.1714,-0.0296,0.9812
109,0.9187,1.5663,0.3429,-0.084,-0.1713,-0.0303,0.9812
110,0.9188,1.5658,0.3434,-0.0823,-0.1707,-0.0301,0.9814
111,0.9187,1.5657,0.3437,-0.0812,-0.1709,-0.0299,0.9815
112,0.9184,1.5656,0.3437,-0.0812,-0.1717,-0.0298,0.9813
113,0.9176,1.5653,0.3438,-0.0803,-0.1729,-0.0284,0.9812
114,0.9166,1.565,0.3439,-0.0787,-0.1751,-0.0273,0.981
115,0.9159,1.5645,0.3441,-0.0772,-0.1765,-0.0266,0.9809
116,0.9154,1.5638,0.3445,-0.0742,-0.1771,-0.0254,0.9811
117,0.9149,1.5633,0.3449,-0.0715,-0.1777,-0.0257,0.9811
118,0.9148,1.5624,0.3453,-0.0685,-0.1771,-0.0245,0.9815
119,0.9151,1.5613,0.3456,-0.0638,-0.1754,-0.0226,0.9822
120,0.916,1.5607,0.3462,-0.0613,-0.1719,-0.0221,0.983
121,0.9171,1.56,0.3469,-0.0587,-0.1672,-0.0218,0.9839
122,0.9189,1.559,0.3474,-0.0545,-0.1595,-0.02,0.9855
123,0.9221,1.5565,0.3481,-0.0429,-0.1454,-0.017,0.9883
124,0.9263,1.5533,0.3492,-0.0294,-0.1259,-0.0139,0.9915
125,0.9305,1.551,0.3499,-0.0196,-0.1071,-0.0144,0.9939
126,0.9344,1.5488,0.3502,-0.0125,-0.091,-0.0136,0.9957
127,0.9379,1.547,0.3505,-0.0063,-0.0771,-0.0135,0.9969
128,0.9418,1.5449,0.3507,0.0008,-0.0638,-0.0134,0.9979
129,0.9467,1.542,0.3506,0.0115,-0.0461,-0.0145,0.9988
130,0.9517,1.5403,0.3507,0.0166,-0.0283,-0.0154,0.9993
131,0.9565,1.5406,0.3506,0.0136,-0.0105,-0.0149,0.9997
132,0.9614,1.5422,0.3508,0.0041,0.0076,-0.0142,0.9999
133,0.9642,1.5435,0.351,-0.0023,0.0158,-0.0191,0.9997
134,0.9656,1.5435,0.3513,-0.0013,0.0171,-0.0204,0.9996
135,0.9658,1.5435,0.3516,-0.0007,0.0142,-0.0212,0.9997
136,0.9649,1.5442,0.352,-0.0026,0.0087,-0.0228,0.9997
137,0.9632,1.5447,0.3521,-0.0046,0.0019,-0.0249,0.9997
138,0.9611,1.5452,0.3522,-0.0063,-0.0059,-0.0273,0.9996
139,0.9591,1.5459,0.3524,-0.0086,-0.0122,-0.0267,0.9995
140,0.9575,1.5463,0.3528,-0.0096,-0.0159,-0.0266,0.9995
141,0.9555,1.5462,0.3529,-0.0091,-0.022,-0.0262,0.9994
142,0.9512,1.5465,0.3522,-0.0098,-0.0394,-0.0291,0.9987
143,0.9456,1.5471,0.3513,-0.0112,-0.0643,-0.0327,0.9973
144,0.9407,1.5472,0.3504,-0.0114,-0.0848,-0.0337,0.9958
145,0.9372,1.5471,0.3496,-0.01,-0.0989,-0.0339,0.9945
146,0.9344,1.5473,0.3491,-0.0099,-0.1099,-0.0338,0.9933
147,0.932,1.5478,0.3488,-0.0118,-0.1207,-0.0346,0.992
148,0.9299,1.5481,0.3482,-0.0124,-0.1311,-0.0361,0.9906
149,0.9284,1.5482,0.3472,-0.0128,-0.1379,-0.0354,0.9897
150,0.9277,1.5485,0.346,-0.0138,-0.1407,-0.0346,0.9894
151,0.9273,1.5489,0.345,-0.0159,-0.1428,-0.0348,0.989
152,0.9266,1.5492,0.3441,-0.0173,-0.1468,-0.0351,0.9884
153,0.9255,1.5493,0.3438,-0.0178,-0.1525,-0.0348,0.9875
154,0.9241,1.5492,0.3441,-0.0171,-0.1584,-0.0347,0.9866
155,0.9235,1.5488,0.3449,-0.015,-0.1614,-0.0352,0.9861
156,0.9232,1.5484,0.3456,-0.013,-0.1636,-0.0343,0.9858
157,0.9227,1.5482,0.3461,-0.0126,-0.1665,-0.0344,0.9854
158,0.9225,1.5481,0.3469,-0.0118,-0.1683,-0.0351,0.985
159,0.9222,1.5479,0.3477,-0.0108,-0.1683,-0.0352,0.985
160,0.9219,1.5477,0.3487,-0.0104,-0.1678,-0.0347,0.9852
161,0.921,1.5478,0.3499,-0.0099,-0.1686,-0.0357,0.985
162,0.9195,1.5472,0.3509,-0.008,-0.1716,-0.0367,0.9845
