Frame,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW
1,0.1516,1.5951,0.4843,0.0517,-0.099,-0.0268,0.9934
2,0.1553,1.5984,0.487,0.036,-0.0842,-0.0311,0.9953
3,0.1579,1.6055,0.4883,0.0019,-0.0745,-0.0371,0.9965
4,0.159,1.6138,0.4883,-0.0367,-0.0698,-0.041,0.996
5,0.1581,1.6216,0.4875,-0.0733,-0.0699,-0.0421,0.994
6,0.1558,1.6253,0.4862,-0.0878,-0.074,-0.0401,0.9926
7,0.1537,1.6244,0.4862,-0.0807,-0.0757,-0.0376,0.9932
8,0.1543,1.622,0.4881,-0.0684,-0.0637,-0.036,0.995
9,0.1592,1.6185,0.4907,-0.0514,-0.0342,-0.0351,0.9975
10,0.1665,1.6143,0.4938,-0.0313,0.0007,-0.0361,0.9989
11,0.1746,1.6109,0.4964,-0.0159,0.0334,-0.0379,0.9986
12,0.1845,1.6077,0.4991,-0.0036,0.0687,-0.0394,0.9969
13,0.195,1.6041,0.5013,0.0097,0.1,-0.042,0.9941
14,0.2055,1.6028,0.504,0.0121,0.1243,-0.0426,0.9913
15,0.2141,1.6024,0.5064,0.0123,0.1382,-0.0462,0.9893
16,0.2205,1.6003,0.5087,0.0197,0.1451,-0.0503,0.9879
17,0.2247,1.5976,0.5111,0.029,0.1484,-0.0517,0.9871
18,0.227,1.5949,0.5135,0.039,0.1486,-0.0529,0.9867
19,0.2272,1.5918,0.5161,0.0513,0.1454,-0.055,0.9865
20,0.2258,1.5893,0.5186,0.0611,0.1413,-0.0566,0.9865
21,0.2235,1.5868,0.5213,0.0715,0.1389,-0.0562,0.9861
22,0.2202,1.5845,0.5239,0.0824,0.1349,-0.0559,0.9859
23,0.2158,1.5824,0.5269,0.0908,0.1287,-0.0543,0.986
24,0.2118,1.581,0.5298,0.0969,0.1232,-0.0534,0.9862
25,0.2082,1.5788,0.5331,0.1056,0.1185,-0.0526,0.9859
26,0.2048,1.5756,0.5369,0.1175,0.1147,-0.0524,0.985
27,0.2011,1.5721,0.542,0.1291,0.1099,-0.0526,0.9841
28,0.1959,1.5674,0.5488,0.1434,0.1032,-0.0533,0.9828
29,0.1884,1.5613,0.5565,0.1619,0.0934,-0.0526,0.981
30,0.1788,1.5573,0.5641,0.1705,0.0814,-0.048,0.9808
31,0.1676,1.553,0.5692,0.1837,0.0713,-0.0448,0.9794
32,0.1561,1.5505,0.5716,0.1878,0.0674,-0.0415,0.979
33,0.1438,1.5535,0.5701,0.1802,0.0696,-0.0373,0.9804
34,0.131,1.5624,0.5674,0.1499,0.0739,-0.0307,0.9854
35,0.119,1.5708,0.5647,0.1174,0.077,-0.0248,0.9898
36,0.1084,1.5805,0.5605,0.0791,0.0822,-0.0216,0.9932
37,0.098,1.5914,0.5532,0.0367,0.0914,-0.0167,0.995
38,0.089,1.6004,0.5446,-0.0012,0.1051,-0.0122,0.9944
39,0.0821,1.6076,0.5364,-0.0303,0.1216,-0.0087,0.9921
40,0.0777,1.611,0.5296,-0.0393,0.1372,-0.0072,0.9897
41,0.0768,1.61,0.5261,-0.037,0.1524,-0.0065,0.9876
42,0.0793,1.6108,0.524,-0.0397,0.1668,-0.0014,0.9852
43,0.084,1.6121,0.522,-0.039,0.1797,0.0017,0.983
44,0.0898,1.6098,0.521,-0.0285,0.1867,-0.0024,0.982
45,0.0946,1.6061,0.5209,-0.0088,0.1878,-0.0088,0.9821
46,0.0982,1.5996,0.5215,0.0211,0.1837,-0.0163,0.9826
47,0.1002,1.5918,0.5231,0.0523,0.1758,-0.0258,0.9827
48,0.101,1.5839,0.5245,0.084,0.1654,-0.0325,0.9821
49,0.1017,1.5774,0.5256,0.1092,0.1568,-0.0415,0.9807
50,0.1021,1.5728,0.5267,0.1258,0.1509,-0.047,0.9794
51,0.1027,1.5724,0.528,0.1244,0.1495,-0.0456,0.9798
52,0.1033,1.5772,0.5287,0.1014,0.1534,-0.0397,0.9821
53,0.1044,1.5851,0.5286,0.0666,0.1616,-0.0306,0.9841
54,0.1054,1.5928,0.5282,0.0322,0.1715,-0.0217,0.9844
55,0.1058,1.5991,0.5278,0.0049,0.1793,-0.0145,0.9837
56,0.1055,1.6042,0.5278,-0.015,0.1839,-0.0085,0.9828
57,0.1049,1.6072,0.5289,-0.0244,0.1863,-0.0051,0.9822
58,0.1041,1.6068,0.5315,-0.0204,0.1866,-0.0046,0.9822
59,0.1033,1.6063,0.5347,-0.0174,0.1847,-0.0036,0.9826
60,0.1022,1.6056,0.5385,-0.0144,0.1838,-0.0021,0.9829
61,0.1012,1.6035,0.542,-0.006,0.1822,-0.0017,0.9832
62,0.0998,1.6001,0.5445,0.0093,0.1795,-0.0044,0.9837
63,0.0988,1.5968,0.5467,0.0214,0.1764,-0.0063,0.9841
64,0.0987,1.594,0.5484,0.0318,0.1747,-0.0087,0.9841
65,0.0993,1.5912,0.55,0.0415,0.1735,-0.0123,0.9839
66,0.1006,1.5862,0.5522,0.0606,0.1716,-0.0183,0.9831
67,0.1016,1.5789,0.5539,0.0899,0.1687,-0.0267,0.9812
68,0.1024,1.5706,0.5551,0.1225,0.1651,-0.0351,0.978
69,0.103,1.564,0.5552,0.1479,0.1617,-0.0417,0.9748
70,0.1034,1.5602,0.5547,0.162,0.1579,-0.0452,0.973
71,0.1033,1.5585,0.5539,0.1678,0.1529,-0.0458,0.9728
72,0.1006,1.5586,0.5533,0.166,0.137,-0.0442,0.9756
73,0.0926,1.5595,0.5538,0.1617,0.1008,-0.0437,0.9807
74,0.0803,1.561,0.5546,0.1559,0.0486,-0.0426,0.9857
75,0.0685,1.5637,0.5549,0.1455,0.0033,-0.0388,0.9886
76,0.057,1.5671,0.5544,0.1319,-0.0375,-0.0322,0.99
77,0.047,1.571,0.5536,0.1153,-0.071,-0.0275,0.9904
78,0.0379,1.576,0.5524,0.0935,-0.1008,-0.022,0.9903
79,0.0298,1.5808,0.5506,0.0739,-0.1277,-0.018,0.9889
80,0.0236,1.5867,0.5483,0.0496,-0.1457,-0.0134,0.988
81,0.0205,1.593,0.5461,0.0246,-0.1516,-0.0119,0.9881
82,0.0197,1.5993,0.5438,0.0001,-0.1454,-0.0107,0.9893
83,0.022,1.6041,0.5423,-0.0191,-0.1279,-0.0092,0.9916
84,0.0253,1.6094,0.5412,-0.0408,-0.107,-0.009,0.9934
85,0.0293,1.6125,0.5404,-0.0515,-0.086,-0.0082,0.9949
86,0.0344,1.6151,0.5403,-0.0612,-0.0611,-0.008,0.9962
87,0.0391,1.6174,0.5406,-0.0696,-0.0393,-0.0102,0.9968
88,0.0437,1.6173,0.5411,-0.067,-0.0205,-0.0121,0.9975
89,0.0475,1.6156,0.5427,-0.0579,-0.0047,-0.0131,0.9982
90,0.0504,1.6143,0.5441,-0.0507,0.0058,-0.0128,0.9986
91,0.053,1.6132,0.5451,-0.0462,0.0142,-0.0137,0.9987
92,0.0553,1.6121,0.5454,-0.0415,0.0212,-0.0142,0.9988
93,0.0571,1.6109,0.5454,-0.0376,0.0243,-0.0148,0.9989
94,0.058,1.6102,0.5451,-0.0356,0.0233,-0.0162,0.999
95,0.0584,1.6091,0.5452,-0.0315,0.0203,-0.0173,0.9991
96,0.0581,1.6083,0.5456,-0.0285,0.0156,-0.0186,0.9993
97,0.057,1.6072,0.5466,-0.0245,0.0088,-0.0193,0.9995
98,0.0561,1.6063,0.5481,-0.0211,0.0022,-0.019,0.9996
99,0.0554,1.6058,0.5496,-0.0196,-0.0021,-0.0185,0.9996
100,0.0552,1.6051,0.5512,-0.0167,-0.0044,-0.0182,0.9997
101,0.055,1.6047,0.5529,-0.016,-0.0064,-0.0174,0.9997
102,0.0551,1.6043,0.5548,-0.0146,-0.0089,-0.0166,0.9997
103,0.0559,1.6032,0.5572,-0.0101,-0.0112,-0.0164,0.9998
104,0.057,1.602,0.5604,-0.005,-0.0136,-0.0163,0.9998
105,0.0585,1.6,0.5649,0.0032,-0.0165,-0.0153,0.9997
106,0.0601,1.5977,0.5699,0.0117,-0.0206,-0.0148,0.9996
107,0.0622,1.5945,0.5756,0.0244,-0.0251,-0.0132,0.9993
108,0.0647,1.5908,0.5807,0.0393,-0.0307,-0.0109,0.9987
109,0.0677,1.5876,0.5848,0.0527,-0.037,-0.0102,0.9979
110,0.0715,1.5852,0.5876,0.0639,-0.0416,-0.0094,0.997
111,0.0765,1.5825,0.5897,0.0767,-0.0438,-0.008,0.9961
112,0.0821,1.5791,0.5912,0.0924,-0.0448,-0.007,0.9947
113,0.088,1.5758,0.592,0.1056,-0.0449,-0.0057,0.9934
114,0.0949,1.5729,0.5922,0.1172,-0.0431,-0.0042,0.9922
115,0.1023,1.5704,0.5914,0.1275,-0.041,-0.0042,0.991
116,0.1091,1.568,0.5896,0.1379,-0.0407,-0.006,0.9896
117,0.1159,1.5654,0.5871,0.1492,-0.0426,-0.0101,0.9878
118,0.1222,1.5622,0.5839,0.1642,-0.0431,-0.015,0.9854
119,0.1295,1.5581,0.5807,0.1827,-0.039,-0.0204,0.9822
120,0.138,1.5524,0.5775,0.2055,-0.0293,-0.0269,0.9778
121,0.146,1.5497,0.5753,0.2157,-0.0167,-0.0322,0.9758
122,0.1551,1.5476,0.5731,0.2225,0.0029,-0.0375,0.9742
123,0.165,1.5461,0.5709,0.2269,0.0284,-0.0438,0.9725
124,0.1743,1.5457,0.5688,0.2261,0.0539,-0.049,0.9714
125,0.1823,1.5475,0.567,0.2176,0.0778,-0.0531,0.9715
126,0.1895,1.5511,0.5658,0.2011,0.0999,-0.0567,0.9728
127,0.1955,1.5559,0.5649,0.1808,0.1206,-0.0597,0.9743
128,0.1997,1.5614,0.5637,0.1583,0.1376,-0.0607,0.9759
129,0.2024,1.5679,0.5629,0.1322,0.1502,-0.0597,0.9779
130,0.2034,1.576,0.5629,0.0993,0.1578,-0.0558,0.9809
131,0.2022,1.584,0.5633,0.0663,0.1578,-0.0505,0.9839
132,0.1989,1.5914,0.5636,0.0371,0.1521,-0.0453,0.9866
133,0.1943,1.5954,0.5633,0.0234,0.1431,-0.0417,0.9885
134,0.1893,1.5972,0.5634,0.0208,0.1325,-0.04,0.9902
135,0.1847,1.5972,0.5641,0.0232,0.1218,-0.039,0.9915
136,0.1792,1.5965,0.5662,0.0285,0.1072,-0.0387,0.9931
137,0.1742,1.5949,0.5691,0.0345,0.0934,-0.0388,0.9943
138,0.1687,1.5934,0.5717,0.0415,0.0804,-0.0389,0.9951
139,0.1613,1.5918,0.5741,0.0473,0.065,-0.0396,0.996
140,0.151,1.5901,0.5762,0.0543,0.0446,-0.0398,0.9967
141,0.1379,1.5877,0.5783,0.0645,0.0192,-0.0394,0.997
142,0.123,1.5843,0.5797,0.0784,-0.0109,-0.0347,0.9963
143,0.1081,1.5809,0.5803,0.0928,-0.0401,-0.0289,0.9945
144,0.096,1.5785,0.5806,0.1019,-0.0598,-0.0227,0.9927
145,0.087,1.5763,0.581,0.11,-0.0708,-0.017,0.9913
146,0.0806,1.5742,0.5818,0.1169,-0.0742,-0.0137,0.9903
147,0.0766,1.5725,0.5828,0.1216,-0.0732,-0.0119,0.9898
148,0.0737,1.5716,0.5834,0.1253,-0.0717,-0.0109,0.9895
149,0.0715,1.5707,0.5835,0.1288,-0.0697,-0.0096,0.9892
150,0.0701,1.5701,0.5829,0.1313,-0.0667,-0.0092,0.9891
151,0.069,1.5692,0.5813,0.1361,-0.0647,-0.0091,0.9885
152,0.068,1.5676,0.5793,0.1444,-0.0655,-0.0102,0.9873
153,0.0671,1.5652,0.5773,0.1554,-0.068,-0.012,0.9854
154,0.0666,1.5633,0.5759,0.1643,-0.0699,-0.013,0.9839
155,0.0666,1.5622,0.5751,0.1676,-0.0691,-0.0119,0.9834
156,0.0675,1.5616,0.5742,0.1691,-0.0667,-0.0117,0.9833
157,0.069,1.5618,0.5729,0.169,-0.0656,-0.0125,0.9834
158,0.0702,1.5628,0.5721,0.1658,-0.0653,-0.0139,0.9839
159,0.0712,1.564,0.5716,0.1613,-0.0651,-0.0145,0.9846
160,0.0722,1.5649,0.5711,0.1578,-0.0645,-0.0141,0.9853
161,0.0732,1.5656,0.5708,0.1557,-0.0631,-0.0149,0.9857
162,0.0744,1.5671,0.57,0.1503,-0.0615,-0.0155,0.9866
163,0.076,1.569,0.5693,0.1433,-0.0583,-0.0165,0.9878
164,0.0786,1.5721,0.5687,0.1315,-0.052,-0.0188,0.9898
165,0.0826,1.5772,0.5682,0.1108,-0.0407,-0.0215,0.9928
166,0.0873,1.5838,0.5672,0.0839,-0.0246,-0.0241,0.9959
167,0.0914,1.5899,0.5661,0.059,-0.0088,-0.0266,0.9979
168,0.0945,1.5949,0.5647,0.0382,0.005,-0.028,0.9989
169,0.0965,1.6002,0.5634,0.0162,0.0167,-0.027,0.9994
170,0.0968,1.6054,0.5619,-0.0056,0.0231,-0.0237,0.9994
171,0.0947,1.6106,0.5608,-0.0294,0.0198,-0.0178,0.9992
172,0.0901,1.615,0.5601,-0.0482,0.0048,-0.0118,0.9988
